Favorite,Model Number,Model Type,Status,RMSE (Validation),MSE (Validation),RSquared (Validation),MAE (Validation),MAE (Test),MSE (Test),RMSE (Test),RSquared (Test)
1,2.20,Gaussian Process Regression,Tested,17.7308076803672,314.381540998169,0.772572521890658,13.344925711757,14.1323372388345,313.807721552958,17.7146188655855,0.754804575854206
0,2.19,Gaussian Process Regression,Tested,17.7366148534329,314.587506459017,0.772423523939985,13.3615272267151,14.0048829681786,310.864104508256,17.6313387043711,0.757104587549988
0,2.18,Gaussian Process Regression,Tested,17.7488745988395,315.022549525332,0.772108808428613,13.3889720383181,13.9233063772446,309.499355108011,17.5925937572608,0.758170942152066
0,2.21,Gaussian Process Regression,Tested,17.748874539358,315.02254741387,0.77210880995607,13.3889720765648,13.9233049979241,309.499298340068,17.5925921438561,0.758170986508017
0,2.26,Neural Network,Tested,18.7826800250717,352.789068924226,0.744788043231689,13.643774822335,14.4705917569779,312.829132553517,17.6869763541855,0.755569201860203
0,2.23,Neural Network,Tested,18.8140206971982,353.967374794604,0.743935642255186,13.6682456383088,14.4705051321387,312.827862422737,17.686940448329,0.755570194284016
0,2.25,Neural Network,Tested,19.0888277209693,364.383343760847,0.736400602040876,13.9401720838141,14.4706032858983,312.830645836471,17.687019133717,0.755568019448076
0,2.24,Neural Network,Tested,19.1133503776747,365.320162659759,0.735722895713246,13.7721355129336,14.470715438879,312.833421150645,17.6870975897869,0.755565850940772
0,2.11,SVM,Tested,19.7988338012828,391.993819890819,0.716426843608048,14.7098851299013,15.0924018654384,379.956005461822,19.4924602208603,0.703119243035481
0,2.16,Ensemble,Tested,20.7636449137922,431.12895010605,0.688116008493265,16.7717630886282,15.6423935225694,380.316991585269,19.5017176573057,0.702837184502277
0,2.12,SVM,Tested,22.8910791392927,524.001504161361,0.620930859240192,18.4799548906727,15.6324952090837,449.952094659381,21.2120742658369,0.648427405962741
0,2.10,SVM,Tested,23.3174391283172,543.70296750278,0.60667857805162,18.9090999187212,16.7181120452826,458.579957162623,21.4144800815388,0.641685977181177
0,2.22,Neural Network,Tested,24.4202711777139,596.349644393085,0.568593323688453,16.9693333778249,18.5228630547646,447.928134944615,21.1643127680682,0.650008838243184
0,2.28,Kernel,Tested,28.3033538201957,801.079837471184,0.420488980931058,23.7018619077709,20.2764518970507,595.270893829644,24.3981739855597,0.534881746784635
0,2.2,Linear Regression,Tested,29.5136964747636,871.058279604475,0.369865714164618,23.5226148207561,30.6066835855358,1255.49398929149,35.4329506150912,0.0190127263491465
0,2.9,SVM,Tested,30.0381536435213,902.290674311791,0.347271815231978,23.9161547538167,23.9875388670561,794.393706084693,28.1849907944759,0.379296020065222
0,2.1,Linear Regression,Tested,32.3064791115613,1043.70859258575,0.244968351706724,27.2647774331773,26.907528557663,899.170459770629,29.986171142222,0.297428115625188
0,2.3,Linear Regression,Tested,32.3725464242755,1047.98176199187,0.24187708833775,27.2524595012129,26.8831963485778,892.989151464791,29.8829240782222,0.30225791555594
0,2.8,SVM,Tested,34.0826182642666,1161.62486774772,0.159666266212174,26.9054839973611,27.6594620400715,1005.63340820687,31.7117235136608,0.214242693455038
0,2.13,SVM,Tested,34.1399259410543,1165.53454326067,0.156837958801651,27.0386564443617,27.8314970934209,1034.64803339226,32.1659452432578,0.191571953252864
0,2.27,Kernel,Tested,36.1945216206041,1310.04339534438,0.0522984756961066,28.1966535317719,28.1254902182129,1252.26652599573,35.3873780604855,0.0215345229059789
0,2.14,Efficient Linear,Tested,36.6936044997583,1346.42061118469,0.0259827498015996,28.1671495476856,28.050572518258,1232.50483321178,35.1070481984997,0.0369754324540918
0,2.15,Efficient Linear,Tested,37.2401067303342,1386.82554928668,-0.0032466799751123,28.5414597269929,27.4864501447449,1235.49063518366,35.1495467279972,0.0346424593287441
