Session: RegressionLearnerSession,,,,,,,
Training Data: Copy_of_Testv2    Observations: 23,,,,,,,
"Predictors: 3    Predictor Names: Age, LEDMg_totalDaily_, YrsSinceDiagnosis",,,,,,,
Response Name: SampEn,,,,,,,
Validation: 5-fold cross-validation,,,,,,,
,,,,,,,
,,,,,,,
Favorite,Model Number,Model Type,Status,RMSE (Validation),MSE (Validation),RSquared (Validation),MAE (Validation)
0,2.1,Linear Regression,Trained,43.3905840628321,1882.7427853137,-0.400507370330706,36.4670535754917
0,2.2,Linear Regression,Trained,66.9920224780093,4487.93107569411,-2.33841701483325,56.6461630119442
0,2.3,Linear Regression,Trained,43.2304748279837,1868.87395385293,-0.390190825325093,36.7527494563783
0,2.8,SVM,Trained,40.6179040953888,1649.81413310221,-0.227239786076469,34.5760079609392
0,2.9,SVM,Trained,53.5214933077111,2864.55024588736,-1.13084005066546,45.6787677853222
0,2.10,SVM,Trained,66.4686188096571,4418.0772864635,-2.28645519220611,53.6998045525418
0,2.11,SVM,Trained,36.8548645876974,1358.28104377751,-0.0103783839351852,29.7638594523451
0,2.12,SVM,Trained,42.7517252411414,1827.71001109405,-0.35957038918512,35.8576820129036
0,2.13,SVM,Trained,38.785054732959,1504.28047063862,-0.118982318034967,31.9842519300427
0,2.14,Efficient Linear,Trained,37.5742055513674,1411.82092281641,-0.050204851886883,30.504844436543
0,2.15,Efficient Linear,Trained,37.7929468666899,1428.30683286845,-0.0624681513214096,31.2435558204012
0,2.16,Ensemble,Trained,38.4404305955863,1477.66670437409,-0.0991852559527291,30.1340247765003
0,2.17,Ensemble,Trained,NaN,NaN,NaN,NaN
0,2.18,Gaussian Process Regression,Trained,36.6650979237357,1344.32940575713,-2.41988155735839e-07,29.25286355035
0,2.19,Gaussian Process Regression,Trained,36.6650961729969,1344.32927737511,-1.46489202990097e-07,29.2528637324816
0,2.20,Gaussian Process Regression,Trained,36.6650949586883,1344.32918832963,-8.02513433484364e-08,29.2528635510681
0,2.21,Gaussian Process Regression,Trained,36.6650940972895,1344.32912516309,-3.32639378264332e-08,29.252861470568
0,2.22,Neural Network,Trained,90.7650226921968,8238.289344315,-5.12817907768939,69.0215366380439
0,2.23,Neural Network,Trained,485.665114638821,235870.603577139,-174.456000326191,220.86994064523
0,2.24,Neural Network,Trained,216.114549833259,46705.4986496324,-33.7426082861776,138.155819569555
0,2.25,Neural Network,Trained,370.311009514591,137130.243767716,-101.006454939055,206.315923626944
0,2.26,Neural Network,Trained,211.658300020387,44799.2359675201,-32.3246052764676,139.759701637775
0,2.27,Kernel,Trained,35.9980034320022,1295.85625109044,0.0360572645939555,28.485369402757
0,2.28,Kernel,Trained,41.8026119914825,1747.45836931043,-0.299873962952176,33.7152047266643
0,3.4,SVM,Trained,40.5891839458114,1647.48185338691,-0.22550488370084,34.6749416103224
0,3.5,SVM,Trained,59.2573139777157,3511.42925985358,-1.61203102047762,48.0705353082003
0,3.6,SVM,Trained,62.0859220078809,3854.66171156867,-1.86734979376591,52.8149309308281
0,3.7,SVM,Trained,36.8548645876974,1358.28104377751,-0.0103783839351852,29.7638594523451
0,3.8,SVM,Trained,42.7517252411414,1827.71001109405,-0.35957038918512,35.8576820129036
0,3.9,SVM,Trained,38.785054732959,1504.28047063862,-0.118982318034967,31.9842519300427
0,3.10,Efficient Linear,Trained,37.5742055513674,1411.82092281641,-0.050204851886883,30.504844436543
0,3.11,Efficient Linear,Trained,37.7929468666899,1428.30683286845,-0.0624681513214096,31.2435558204012
0,3.12,Ensemble,Trained,38.4404305955863,1477.66670437409,-0.0991852559527291,30.1340247765003
0,3.13,Ensemble,Trained,NaN,NaN,NaN,NaN
0,3.14,Gaussian Process Regression,Trained,36.6650979237357,1344.32940575713,-2.41988155735839e-07,29.25286355035
0,3.15,Gaussian Process Regression,Trained,36.6650961729969,1344.32927737511,-1.46489202990097e-07,29.2528637324816
0,3.16,Gaussian Process Regression,Trained,36.6650949586883,1344.32918832963,-8.02513433484364e-08,29.2528635510681
0,3.17,Gaussian Process Regression,Trained,36.6650940972895,1344.32912516309,-3.32639378264332e-08,29.252861470568
0,3.18,Neural Network,Trained,55.6794321354179,3100.1991629226,-1.30613114602521,43.4694326514154
0,3.19,Neural Network,Trained,210.317225816024,44233.3354749483,-31.9036514335408,128.668742092882
0,3.20,Neural Network,Trained,132.687320931879,17605.9251360795,-12.0964399953664,93.6879759761543
0,3.21,Neural Network,Trained,260.122297153506,67663.6094764169,-49.3326235076296,138.919042458009
0,3.22,Neural Network,Trained,94.3918836828247,8909.82770519191,-5.62771328448823,77.5736603212663
